ST	Community
1	0
2	5200
3	1
4	5200
5	2
6	3
7	5200
8	4
9	5
10	5200
11	6
12	7
13	8
14	9
15	9
16	9
17	5200
18	10
19	5200
20	5200
21	5200
22	5200
23	5200
24	5200
25	11
26	11
27	12
28	13
29	5200
30	5200
31	5200
32	5200
33	5200
34	5200
35	14
36	5200
37	5200
38	5200
39	5200
40	5200
41	5200
42	5200
43	5200
44	5200
45	5200
46	5200
47	5200
48	5200
49	5200
50	5200
51	5200
52	5200
53	5200
54	5200
55	5200
56	10
57	5200
58	10
59	5200
60	5200
61	15
62	5200
63	16
64	5200
65	5200
66	5200
67	5200
68	5200
69	0
70	17
71	18
72	19
73	20
74	5200
75	5200
76	0
77	5200
78	5200
79	5200
80	21
81	22
82	5200
83	23
84	5200
85	24
86	25
87	5200
88	5200
89	5200
90	2
91	5200
92	5200
93	5200
94	26
95	5200
96	5200
97	27
98	28
99	29
100	6
101	5200
102	5200
103	5200
104	5200
105	23
106	5200
107	30
108	5200
109	5
110	31
111	32
112	33
113	34
114	24
115	35
116	36
117	37
118	36
119	5200
120	5200
121	5200
122	5200
123	5200
124	38
125	23
126	5200
127	11
128	31
129	5200
130	5200
131	5200
132	5200
133	5200
134	5200
135	24
136	5200
137	5200
138	5200
139	5200
140	5200
141	39
142	6
143	6
144	40
145	5200
146	6
147	22
148	23
149	29
150	5200
151	5200
152	5200
153	41
154	5200
155	4
156	5200
157	5200
158	42
159	43
160	5200
161	44
162	4
163	5200
164	12
165	5200
166	30
167	5200
168	45
169	15
170	5200
171	14
172	5200
173	26
174	46
175	5200
176	31
177	5200
178	10
179	20
180	2
181	5200
182	5200
183	5200
184	5200
185	5200
186	5200
187	47
188	48
189	5200
190	5200
191	5200
192	20
193	5200
194	6
195	4
196	5200
197	5200
198	5200
199	14
200	5200
201	5200
202	5200
203	49
204	5200
205	50
206	51
207	5200
208	5200
209	5200
210	5200
211	5200
212	52
213	5200
214	5200
215	5200
216	34
217	5200
218	5200
219	51
220	5200
221	28
222	5200
223	5200
224	9
225	29
226	5200
227	5200
228	32
229	5200
230	4
231	53
232	51
233	5200
234	5200
235	5200
236	5200
237	5200
238	42
239	39
240	54
241	42
242	42
243	5200
244	5200
245	24
246	31
247	55
248	20
249	29
250	26
251	5200
252	5200
253	28
254	4
255	5200
256	5200
257	5200
258	5200
259	56
260	9
261	9
262	5200
263	5200
264	57
265	5200
266	58
267	23
268	59
269	29
270	60
271	32
272	60
273	23
274	60
275	32
276	32
277	32
278	5200
279	5200
280	5200
281	5200
282	5200
283	5200
284	5200
285	5200
286	36
287	61
288	62
289	5200
290	5200
291	5200
292	63
293	63
